city_id,city_name,total_city_checklists,total_city_locations,total_city_effort,total_city_area_m2,percentage_total_city_area_surveyed
1143,Montevideo,2541,432,52431,429811114.94,26
1146,Mar del Plata,1027,154,24070,221383872.29,28
1223,Porto Alegre,3389,214,118421,779429074.74,12
1308,São Paulo,30369,1654,879475,6308624428.24,12
1325,Santos,949,104,62128,438991754.17,13
1329,Sao Jose dos Campos,2334,157,90709,646214464.98,12
1557,Lisbon,20627,1768,372110,1057598364.55,50
1575,Porto,6852,793,131656,742742756.28,36
1576,Marrakesh,352,209,14043,288522684.47,17
1639,Seville,2212,249,100047,394068854.4,24
1663,Dublin,4403,549,168060,463776242.55,36
1684,Málaga,4160,589,201356,498228044.09,37
1708,Madrid,10346,1456,334503,1653539473.84,33
1716,Glasgow,1277,249,40361,429408646.2,23
1744,Bilbao,1147,154,99087,260170343.46,28
1758,Liverpool,1047,230,63813,615427584.57,18
1777,Bristol,441,175,17056,259608124.59,28
1786,Manchester,2544,460,129087,986236888.91,21
1806,Birmingham,1025,237,56947,998553396.58,12
1825,Leeds,1911,199,131107,685289622.59,15
1836,Newcastle upon Tyne,2065,388,75064,341046406.1,30
1844,Sheffield,640,172,21904,361103331.37,18
1864,Nottingham,2453,106,140451,250526920.03,23
1918,Valencia,2014,452,77441,693783940.57,26
1919,London,21265,2674,1121431,2817233075.64,35
2025,Toulouse,946,171,21594,444529002.35,17
2054,Paris,2320,854,73034,2580307788.88,13
2059,Barcelona,8662,1610,348959,1107548874.23,39
2131,Rotterdam [The Hague],545,262,16185,954148530,13
2144,Brussels,838,226,20811,394306581.36,21
2176,Amsterdam,1035,492,33846,494534776.65,29
2195,Lyon,402,149,10462,445097651.25,13
2237,Marseille,245,118,5865,442498326.16,11
2298,Dusseldorf,572,76,37194,319009475.41,12
2378,Nice,380,116,14844,495010789.97,12
2455,Frankfurt am Main,716,188,26705,440771402.61,21
2473,Zurich,1487,336,33740,393435304.28,29
2503,Oslo,1062,270,33452,300165465.7,34
2524,Stuttgart,312,105,10790,488020622.03,12
2542,Hamburg,878,191,16704,701143886.74,15
2546,Genoa,123,45,3845,173265981.29,15
2737,Nuremberg,1768,89,42351,274270214.15,14
2757,Copenhagen,717,351,22718,505379761.26,25
2792,Munich,1059,266,25969,511790122.61,24
2860,Berlin,1937,554,79962,918055415.58,26
2897,Dresden,169,81,5930,242893501.74,17
2907,Rome,1333,438,46571,782488242.09,13
2937,Prague,5672,702,81216,411602016.67,52
2983,Stockholm,1055,366,33091,429322719.38,31
3022,Poznan,234,67,7866,235789931.88,17
3037,Vienna,2077,376,48707,544826168.79,27
3041,Wroclaw,87,50,2724,201345964.53,14
3042,Zagreb,828,206,22236,294077611.76,24
3070,Gdansk,208,96,8020,259444051.66,18
3203,Budapest,885,271,26583,590793154.94,19
3216,Krakow,586,152,16267,234088839.03,28
3228,Warsaw,833,312,25759,545448305.19,23
3255,Helsinki,2917,857,155003,391621608.8,47
3278,Cape Town,1998,501,77891,1176432226.35,15
3279,Riga,119,76,3504,194038391.36,18
3280,Belgrade,5348,318,115271,330275643.74,41
3362,Lviv,496,327,6103,152828384.09,40
3392,Sofia,2689,326,100307,284499605.96,35
3395,Thessaloniki,130,55,4711,166597508.59,16
3407,Saint Petersburg,282,176,7249,638044521.35,15
3412,Minsk,483,143,14147,315313959.29,23
3430,Athens,2524,375,83078,636796451.22,20
3528,Kyiv,425,165,11651,614901098.96,15
3574,Istanbul,3125,764,170807,1755048525.72,17
3593,Odesa,161,62,15898,244551471.36,12
3684,Johannesburg,5280,804,184420,2497129536.59,13
3709,Pretoria,1657,231,44713,669254445.14,18
4189,Kigali,878,184,23861,352076225.67,18
4225,Samsun,50,39,1925,86093422.5,17
4259,Luxor,83,43,3347,68332527.59,19
4328,Tel Aviv,5143,2124,148778,632911974.33,58
4370,Jerusalem,2736,603,151302,337806165.53,33
4446,Kampala,855,185,34452,812195871.37,11
4783,Izhevsk,1014,33,25905,130132130.76,16
4822,Arusha,204,105,8293,146064245.25,24
4830,Nairobi,878,299,41885,469418333,20
4939,Tbilisi,224,94,9073,145421991.69,20
5002,Yerevan,84,57,2596,211987898.07,11
5155,Addis Ababa,1101,221,38820,519596507.91,13
5734,Kuwait City,973,146,28006,532160797.2,11
5823,Antananarivo,532,172,23336,291619298.93,14
5894,Doha,250,114,7262,420368073.05,11
5939,Abu Dhabi,408,98,13475,214226170.41,20
5945,Dubai,1684,407,77765,807177202.24,19
6164,Bishkek,310,39,6496,156599497.36,12
6270,Swat City,926,134,20697,100913425.95,30
6483,Srinagar,654,129,26961,154588380.93,27
6499,Jamnagar,294,74,11658,73613023.17,30
6545,Jammu,540,205,18306,142548525.38,31
6564,Rajkot,388,54,14430,120433561.54,19
6601,Bikaner,98,24,2037,84992089.15,14
6637,Jodhpur,407,100,21775,172843372.34,21
6660,Jalandhar,2326,214,90563,134775357.24,33
6693,Ahmedabad,4806,548,109533,362226747.07,39
6696,Bhavnagar,278,106,10127,65796107.25,39
6701,Ludhiana,1308,166,38974,261755821.61,12
6747,Anand,222,95,6482,83874745.82,31
6755,Udaipur,377,108,13531,108046183.46,31
6770,Surat,701,92,20515,228540214.71,16
6779,Vadodara,1316,277,44718,230766140.55,34
6786,Ajmer,52,35,2109,96284212.51,15
6803,Chandigarh,1368,390,49350,278665697,33
6882,Vasai-Virar,1920,155,56257,167658027.95,33
6887,Mumbai,15592,2354,761689,1076093046.6,44
6935,Jaipur,807,230,35389,346225754.58,25
6998,Delhi [New Delhi],15544,2698,400476,2522747364.85,25
7014,Nashik,833,163,24143,178047665.04,33
7062,Dehradun,7675,503,241092,115669095.6,68
7073,Kota,89,49,2206,130875311.68,16
7086,Pune,15984,1639,428198,634210900.54,49
7100,Haridwar,111,54,3847,106573981.38,20
7154,Dhule,132,42,4735,52162545.7,25
7204,Ujjain,61,49,2499,59387054.71,25
7235,Indore,2209,296,54236,284903057.77,33
7241,Ahmadnagar,993,104,38951,70201389.31,23
7262,Kolhapur,579,104,15202,87114117.48,33
7292,Jalgaon,2426,90,81752,52298313.17,37
7308,Agra,269,74,13698,213162840.26,12
7310,Aurangabad,308,85,11977,112551514.04,29
7332,Sangli,2267,208,96904,82199786.23,56
7367,Belagavi,125,57,6129,85181469.74,28
7431,Gwalior,84,41,3269,108713056.77,15
7474,Budaun,13,9,248,15302356.66,16
7480,Bareilly,161,34,6355,111345078.22,14
7483,Dharwad,755,137,26510,47177446.26,63
7503,Bhopal,514,180,22675,221855540.54,27
7527,Bhind,14,9,540,29545386.62,13
7542,Mangaluru,2698,273,84253,241756322.02,39
7554,Solapur,69,38,2245,82581376.5,14
7555,Vijayapura,597,41,9393,53336625.07,24
7593,Akola,533,67,32699,70806692.09,33
7635,Latur,15,9,537,41397802.21,12
7655,Kannur,3221,437,83500,202991623.09,47
7700,Davanagere,25,20,719,44315786.03,16
7714,Thalassery,1357,226,27912,272547844.56,25
7725,Amravati,240,104,14203,74082794.17,46
7747,Kalaburagi,19,15,456,59644542.54,14
7769,Kozhikode,3228,785,68836,476267661.38,39
7824,Guruvayur,1824,420,41800,509777793.19,27
7842,Malappuram,262,115,5941,226753214.61,19
7899,Lucknow,2842,138,90296,384464890.88,16
7909,Thrissur,5343,582,108053,158325400.79,65
7930,Mysuru,7222,628,141492,141435963.73,79
7932,Kochi,25650,4464,477865,739577656.82,59
7969,Alappuzha,952,303,18904,195743620.42,46
7973,Nagpur,2294,308,83121,269693989.15,37
8010,Kollam,10662,829,171878,618094187.51,38
8017,Jabalpur,351,117,18891,122090646.15,30
8021,Ettumanoor,3709,643,76959,240366516.47,48
8052,Hyderabad,5205,835,175605,903755976.59,33
8070,Coimbatore,7427,1046,159691,370383276.33,58
8099,Bengaluru,29352,2630,655570,655529791.59,68
8145,Thiruvananthapuram,4851,849,97348,382521310.51,48
8154,Tiruppur,6307,388,121046,185502942.36,52
8173,Faizabad,82,46,4136,119392871.34,15
8238,Erode,179,94,4783,206155974.83,22
8251,Prayagraj,170,71,7645,154505086.05,20
8260,Pratapgarh,4,4,450,19717163.39,12
8331,Salem,9780,602,161248,179157517.39,48
8363,Dindigul,56,31,1992,37632307.36,28
8398,Madurai,1284,246,42518,129269776.26,57
8502,Tiruchirappalli,1227,201,24154,146038404.85,46
8517,Durg,200,76,12083,181253102.63,22
8527,Vellore,377,106,9667,100301973.9,33
8558,Tirupati,1153,133,29778,75865844.5,37
8565,Raipur,5666,279,146331,198169845.44,42
8632,Bilaspur,239,84,6050,112414280.88,28
8683,Vijayawada,123,54,2680,127000601.81,18
8719,Puducherry,2545,420,55275,96619359.08,67
8733,Chennai,24948,2537,599750,977640031.51,52
8819,Kathmandu,3019,439,84602,287688403.81,45
8896,Colombo,11837,1276,441594,1255014390.73,29
8923,Rajamahendravaram,24,15,1443,67639849.01,14
8973,Patna,176,87,4456,165676980.29,26
9063,Kandy,411,139,21996,222350245.23,22
9124,Bihar Sharif,9,6,165,31975985.24,11
9180,Visakhapatnam,7105,188,157442,220875524.27,28
9218,Ranchi,275,104,11098,155636411.15,22
9402,Brahmapur,43,13,893,46842721.15,16
9416,Jamshedpur,148,62,5018,161210903.39,20
9482,Darjeeling,207,51,10268,11987350.71,66
9520,Siliguri,390,123,11964,100457501.87,39
9531,Cuttack,85,38,2209,66596240.35,18
9535,Bhubaneshwar,1487,165,51884,154628875.38,39
9582,Jalpaiguri,70,35,2526,48195496.11,28
9679,Berhampore,55,41,4418,151047233.36,11
9752,Kolkata,8946,1560,383741,3093100574.89,15
9768,Krishnanagar,436,16,17404,37338666.88,25
9976,Guwahati [Dispur],2711,555,59704,211739782.96,50
10034,Agartala,1069,148,25735,202521791.29,20
10100,Silchar,166,53,4928,79332081.96,29
10119,Dimapur,369,32,7903,98633845.98,16
10774,Bangkok,4464,1056,187275,3487264817.47,11
11000,George Town,1861,201,85359,444927412.72,15
11197,Kuala Lumpur,1417,574,56535,1873848810.13,13
11536,Phnom Penh,2575,200,71819,376114154.77,18
11554,Singapore,7258,1894,458832,1325571624,30
11699,Perth,4383,1000,141081,1239133475.35,31
12333,Hong Kong,2229,493,97692,622576920.29,27
12349,Sha Tin,560,162,22587,199494958.97,27
12743,Hsinchu,1028,421,33326,386064843.67,33
12745,Taichung,6795,1430,99130,675247874.24,44
12748,New Taipei [Taipei],17372,4256,548374,2089730995,46
12755,Tainan,3305,1112,60270,492114291.38,42
12760,Denpasar,700,373,32833,868146189.61,17
12761,Kaohsiung,2847,926,102853,940622890.58,31
12784,Kota Kinabalu,500,197,19168,343161122.14,18
13030,Adelaide,1041,425,28137,1233068045.54,17
13076,Melbourne,23128,2885,499444,3874915122.66,32
13097,Sydney,13773,2150,402503,4161641170.46,24
13130,Brisbane,10249,1484,208312,2200829719.39,29
13183,Auckland,5777,1290,127843,1114556773.76,38
